,name,role,team,minutes_played,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayed,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,matchesPlayedTeam,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayed,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,mapsPlayedTeam,points10m,totalPoints,eliminations_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,ultimates_earned_avg_per_10m,deaths_avg_per_10m,final_blows_avg_per_10m,player,fantasyTeam
78,SMURF,tank,SFS,54.19546075165272,4,4,4,4,5,5,5,5,5,5,5,5,21,21,21,21,15.596486490343917,84.52587714511156,15.314935761934429,0.0,7939.018609376702,4.797449756750544,4.981967055087104,5.9045535467699,FreeAgent,FreeAgent
79,STRIKER,offense,SFS,21.29877241750558,2,2,2,2,5,5,5,5,2,2,2,2,21,21,21,21,15.471952863396808,32.95336028918624,14.085318821164938,0.0,8429.293452814338,4.225595646349481,7.042659410582469,6.573148783210304,FreeAgent,FreeAgent
80,SUPER,tank,SFS,228.09916595121226,5,5,5,5,5,5,5,5,16,16,16,16,21,21,21,21,17.2104377932093,392.56865062862636,16.790942588624777,0.0,8814.966498896913,4.910145091190535,5.08550741587591,6.137681363988168,FreeAgent,FreeAgent
81,VIOL2T,support,SFS,158.66595603823663,3,3,3,3,5,5,5,5,12,12,12,12,21,21,21,21,28.72586712105771,455.781716978997,16.197551536390456,11875.670680963542,8751.420671898943,5.483217835276147,3.781529541569756,3.2773256026937885,FreeAgent,FreeAgent
82,BANI,support,HOU,26.167192471027374,1,1,1,1,5,5,5,5,2,2,2,2,22,22,22,22,21.21702832532702,55.51900638520717,14.522001182233842,7591.461944926478,6364.565789283623,4.2037371843308495,5.350210961875625,3.0572634067860722,BANI,PopeRonPaul
83,BOINK,support,HOU,294.98296060661477,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,15.756293601030368,464.78381346189974,12.00069316790435,5888.126498675203,3867.8205184029894,3.288325529058537,4.8138373724362085,2.2713176334734224,BOINK,PopeRonPaul
84,COOLMATT,tank,HOU,136.15254823466142,3,3,3,3,5,5,5,5,9,9,9,9,22,22,22,22,18.04343426794541,245.66595544853803,18.949333181435005,1.5390814120111072,8567.228595815897,4.259927614431126,4.700609781441242,4.774056809276262,COOLMATT,PopeRonPaul
85,DANTEH,offense,HOU,268.848140056928,5,5,5,5,5,5,5,5,20,20,20,20,22,22,22,22,19.166563402926265,515.2894922159911,18.560664020005415,451.02073565227244,9435.210657271282,4.984226410181814,4.165920581644501,5.281792166013565,DANTEH,PopeRonPaul
86,JAKE,offense,HOU,184.99755980074406,5,5,5,5,5,5,5,5,15,15,15,15,22,22,22,22,18.580504667809194,343.73480234110355,15.135334774230564,5944.5955285622595,5068.241752131653,4.162217062913405,5.621695773285639,4.540600432269169,JAKE,PopeRonPaul
87,LINKZR,offense,HOU,143.64765241543452,4,4,4,4,5,5,5,5,10,10,10,10,22,22,22,22,21.56845197432039,309.82574923461675,18.587146779665133,5421.9159780548,6852.962606433021,4.873034736241795,5.290723427919664,5.5691825557049075,LINKZR,PopeRonPaul
88,MUMA,tank,HOU,295.01533252795537,5,5,5,5,5,5,5,5,22,22,22,22,22,22,22,22,14.815661255123313,437.0847231801749,15.287341038698852,0.0,7171.990735773887,3.965895568797706,5.660722734950571,4.982791868489426,MUMA,PopeRonPaul
89,RAWKUS,support,HOU,268.848140056928,5,5,5,5,5,5,5,5,20,20,20,20,22,22,22,22,21.393936574248343,575.1720056482553,13.167284695554944,8345.94421679971,6464.350009671162,4.091529142686564,4.8354435322659395,3.5707890699810014,RAWKUS,PopeRonPaul
90,SPREE,tank,HOU,151.3352631489436,5,5,5,5,5,5,5,5,12,12,12,12,22,22,22,22,16.28771056896688,246.49049650484324,17.64294682180052,2.1647300013943362,7464.072428065223,4.2290209610308365,4.889805486191905,5.5505900113529725,SPREE,PopeRonPaul
91,BDOSIN,support,LDN,261.10823396841687,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,24.008471245125172,626.8809527096153,15.702300680781779,8114.896030128051,8042.424874606232,4.442602143830942,3.791531139993649,4.251110672114091,BDOSIN,MattyIce
92,BIRDRING,offense,LDN,85.03457950353622,3,3,3,3,5,5,5,5,7,7,7,7,21,21,21,21,18.18632997614094,154.64669222337008,17.051886520350237,12.965313492032562,9647.421402473788,4.351171043123855,4.939167130032483,6.820754608140096,FreeAgent,FreeAgent
93,FURY,tank,LDN,261.12448190848033,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,17.179995908131172,448.61175307005647,19.913873881126595,17.869768897425423,7205.18919867045,3.3317442839577183,2.719009702999977,6.6634885679154365,FURY,Jyeran
94,GESTURE,tank,LDN,261.10824634532133,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,15.830095413970877,413.3368453021049,16.429967494501806,0.0,7615.111666719975,4.595795103357149,4.978778028636912,5.055374613692863,GESTURE,Dragonbeard
95,GUARD,offense,LDN,176.0899024049441,4,4,4,4,5,5,5,5,14,14,14,14,21,21,21,21,22.476036940343015,395.780315127492,18.002167964805434,7458.365849233483,6016.5871087068135,5.111025605149808,3.8616637905576323,3.520928750214312,FreeAgent,FreeAgent
96,NUS,support,LDN,261.10821334818996,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,17.600883706853843,459.5735298045874,13.749088755062274,6378.053656508345,4348.285672814361,3.4085484657396723,3.1021620867967807,1.723423381553767,NUS,MattyIce
