,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
12,4.747559892440435,16.2472049652406,4.0090505758385895,7126.681414592758,8223.18735292412,BDOSIN,4655,support,LDN,4410,5687.132045030594,4.220053237724832,MattyIce,23.473471250137177,94.78553408384323,222.49455092459917
85,5.075851337143646,15.560396722063306,3.2452164286656093,5844.623275947716,4834.289942692971,MASAA,8681,support,ATL,7698,7210.613071382046,3.411637783981794,FreeAgent,18.45911157967234,120.17688452303409,221.8358520708084
45,4.162069165453472,19.864421016937026,6.621473672312343,714.7189273026493,10314.638575866968,FLETA,4631,offense,SEO,4409,6342.9988667964935,4.162069165453472,Jyeran,20.96156801163813,105.71664777994155,221.59867024016376
102,4.853061223383556,17.40771960561493,5.169565216212919,8727.887264810672,5830.562286424536,PROFIT,4662,offense,LDN,4410,5687.132045030594,5.169565216212919,Dragonbeard,23.26230935404267,94.78553408384323,220.4930416146517
63,3.93605371616938,13.46130370929928,2.912679749965341,5789.407708555384,4503.946050596145,IDK,8717,support,HZS,7693,7621.8472011089325,3.3062851215822793,FreeAgent,17.02400561380117,127.03078668514887,216.25728256535533
107,4.329106758253026,20.150024183868634,5.982038429586001,0.0,6748.600396532897,RIA,8716,tank,HZS,7693,7622.819635272026,3.069730246761237,FreeAgent,16.823612488467212,127.04699392120044,213.7389393554926
88,3.4781569356005386,13.02286666585318,2.426621117860841,7051.104441448173,3702.5962164602843,MOTH,5716,support,SFS,4404,7417.721649050713,3.4781569356005386,PopeRonPaul,17.265133990835047,123.6286941508452,213.44659696263076
112,6.4031766804563395,19.87479515102682,5.654753432091313,0.0,7532.442792887763,SADO,4669,tank,PHI,4524,7215.168705403805,3.825274380532359,Bobble,17.469840368401172,120.25281175673008,210.07974252414704
83,5.40494969927373,12.888726205960435,2.8064161900075133,8025.809552750607,7250.2994886195565,LUFFY,8891,support,SHD,4408,5772.486653149128,4.053712274455298,FreeAgent,21.72047214435038,96.2081108858188,208.96855925559998
91,2.3757492641500386,23.644361724159914,7.692902379152507,0.0,11712.818127766406,NENNE,8236,offense,NYE,4403,5303.589983224869,4.977760362981034,FreeAgent,23.534998989846365,88.39316638708115,208.03330816292768
109,5.460012181419684,15.072709683919127,4.84479954125972,0.0,8459.982169888437,ROAR,8222,tank,GLA,4406,7802.180395305157,4.99860270129971,FreeAgent,15.996337011848002,130.0363399217526,208.01051171755793
133,2.9987876163762928,17.146913806459313,4.152167468828713,1.4624379045014133,7398.1074755849095,VOID,5809,tank,GLA,4406,7803.153471827507,2.2298677147413457,Bobble,15.973026816719068,130.05255786379178,207.73329943412543
9,5.385506254654423,15.32214455549568,3.7167578377192494,0.0,7980.2134786259485,AXXIOM,5878,tank,BOS,4402,7910.119863510132,3.944314440028591,Not Another...,15.641285756373788,131.8353310585022,206.20740858721734
27,4.727902150150927,19.275293381384547,5.000665735736557,1.9052523377407613,8909.241195263174,COOLMATT,4138,tank,HOU,4525,6599.121345818043,4.727902150150927,Overdrive,18.54879313829319,109.98535576363405,204.00956123012304
15,4.613521276712222,13.14853563862983,2.921896808584407,4449.413338670409,4651.291932006441,BIGG00SE,4643,support,GLA,4406,7803.150314211845,3.0756808511414806,MattyIce,15.674973089991767,130.05250523686408,203.85695198738577
