,name,role,teamName,matchesPlayed,matchesPlayedTeam,mapsPlayed,mapsPlayedTeam,points,eliminations,damage,healing,player,fantasyTeam
275,SWON,tank,Florida Mayhem,4,4,18,18,389.44312073028095,357,210943.12073028088,0.0,FreeAgent,FreeAgent
278,SADO,tank,Philadelphia Fusion,5,5,21,21,525.7304810548425,479,286230.4810548425,0.0,SADO,Bobble
281,SAEBYEOLBE,offense,New York Excelsior,1,5,1,21,26.920815698504445,13,8863.982856273651,11556.832842230797,FreeAgent,FreeAgent
282,SANSAM,tank,Washington Justice,3,3,13,13,271.01794692152737,171,185310.48691505194,207.4600064754486,FreeAgent,FreeAgent
285,SEOMINSOO,offense,Vancouver Titans,4,4,15,17,565.6772235352098,385,373177.2235352099,0.0,SEOMINSOO,MattyIce
288,SHAZ,support,Los Angeles Gladiators,4,4,17,17,791.0115449189544,354,347701.41367930174,266310.13123965263,SHAZ,Jyeran
291,SMURF,tank,San Francisco Shock,4,4,5,17,99.48653982430696,83,57986.539824306965,0.0,FreeAgent,FreeAgent
294,SOON,offense,Paris Eternal,2,2,8,8,298.3947688486576,233,181634.07653570175,260.6923129558563,SOON,Not another
296,STELLAR,offense,Toronto Defiant,4,4,17,17,621.7068663613795,420,194696.77495020628,217010.09141117334,STELLAR,Not another
299,STITCH,offense,Vancouver Titans,2,4,2,17,35.3841938945353,22,24384.193894535303,0.0,FreeAgent,FreeAgent
301,STRATUS,offense,Washington Justice,1,3,1,13,24.200510766267776,10,7022.386318206787,12178.12444806099,FreeAgent,FreeAgent
302,SUREFOUR,offense,Los Angeles Gladiators,3,4,13,17,485.77033014518025,326,322129.2832363248,641.0469088554382,SUREFOUR,Jyeran
304,TVIQ,offense,Florida Mayhem,4,4,14,18,450.0354038940668,338,155989.84183609486,125045.56205797195,TVIQ,Bobble
307,TWILIGHT,support,Vancouver Titans,4,4,16,17,581.5755074267388,313,239241.5708448887,185833.93658185005,TWILIGHT,Jyeran
310,VIOL2T,support,San Francisco Shock,2,4,8,17,398.53845737865566,168,174910.4794255793,139627.97795307636,FreeAgent,FreeAgent
312,VOID,tank,Los Angeles Gladiators,4,4,17,17,604.9857455609738,465,372466.72618195415,19.019379019737244,VOID,Bobble
